347,Global Price Index of All Commodities,monthly,index 2016=100,1995-02-01,.
348,Global Price Index of All Commodities,monthly,index 2016=100,1995-01-01,.
349,Global Price Index of All Commodities,monthly,index 2016=100,1994-12-01,.
350,Global Price Index of All Commodities,monthly,index 2016=100,1994-11-01,.
351,Global Price Index of All Commodities,monthly,index 2016=100,1994-10-01,.
352,Global Price Index of All Commodities,monthly,index 2016=100,1994-09-01,.
353,Global Price Index of All Commodities,monthly,index 2016=100,1994-08-01,.
354,Global Price Index of All Commodities,monthly,index 2016=100,1994-07-01,.
355,Global Price Index of All Commodities,monthly,index 2016=100,1994-06-01,.
356,Global Price Index of All Commodities,monthly,index 2016=100,1994-05-01,.
357,Global Price Index of All Commodities,monthly,index 2016=100,1994-04-01,.
358,Global Price Index of All Commodities,monthly,index 2016=100,1994-03-01,.
359,Global Price Index of All Commodities,monthly,index 2016=100,1994-02-01,.
360,Global Price Index of All Commodities,monthly,index 2016=100,1994-01-01,.
361,Global Price Index of All Commodities,monthly,index 2016=100,1993-12-01,.
362,Global Price Index of All Commodities,monthly,index 2016=100,1993-11-01,.
